,created_at,id,text
32,2022-03-31T12:06:39.000Z,1509502430949564420,"Everyone bullies each other everyday on social media &amp; that’s what’s wrong with society &amp; America right now is bullying Jada for what she did in the pass for Will’s action at the #Oscars2022 
I’m not defending her just stating the facts."
33,2022-03-31T12:06:24.000Z,1509502368982913031,"@piersmorgan Why is anyone surprised?

These Hollywood ‘celebrities’ are pretty much all:

Woke, sanctimonious, hypocritical, unprincipled &amp; stupid

They think we love &amp; admire them, we all just loathe &amp; ridicule them

#Oscars2022 #WillSmith"
34,2022-03-31T12:05:00.000Z,1509502015474446344,"Will Smith, the devil is busy. You apologized keep pushing forward. We are all imperfect people. #Oscars2022"
35,2022-03-31T12:04:42.000Z,1509501940681564160,@XhitmanXoo7 #LMAO first good thing from the #Oscars  #Oscars2022
36,2022-03-31T12:00:33.000Z,1509500897163939852,"#Oscars2022 how long have y’all awarded deserving Black people anyway. Expelling him is in sink with who I think y’all are anyway! 

I don’t watch rich people clapping for each other over movies I would never watch anyway!"
37,2022-03-31T12:00:27.000Z,1509500872329347077,This country was built on torturous slavery and massacre and now it's disgusted with Will Smith's behavior. #Oscars2022 #Oscars #SlapChrisRock #slapheardroundtheworld
0,2022-03-31T13:58:42.000Z,1509530630060900352,"#WillSmith apology sounds an awful lot like ""Baby, I'm so sorry I hit you, I know it was wrong, it's just... *You make me so mad, sometimes*""

#ChrisRock #Oscars #Oscars2022"
1,2022-03-31T13:57:35.000Z,1509530348035534854,"Is it just me or are people reading too much into the GI Jane joke, it's a joke. #Oscars2022 #Oscars"
2,2022-03-31T13:54:06.000Z,1509529470582943744,"Just wanted to say how amazing @iamwandasykes @amyschumer and #reginahall were on the #Oscars2022 💕 funny, smart and hard working ladies that didn’t get enough praise for their months of hard labor on this incredible performance!"
3,2022-03-31T13:53:05.000Z,1509529217041526793,"@with_cocktails @MsVivicaFox 3-28-22 show in your pank and leather.
What you said, specifically about your reaction to the ""oscar-slap"" resonated and deeply saddened me. I understand both responses, yours and Will's. This is a turn up year that didn't start with the #Oscars2022"
4,2022-03-31T13:52:36.000Z,1509529095859683338,"It was the right thing to do but at a wrong scene. When he slapped Chris at that stage, it became a matter of disrespect and indiscipline to a prestigious event like the #Oscars2022 I pray no judgement should be  passed, but it wasn't cool to be honest. #willsmithslap"
5,2022-03-31T13:50:25.000Z,1509528545797632000,"“Any man who tries to be good all the time is bound to come to ruin among the great number who are not good”

Nicolo Machiavelli

#Oscars2022"
6,2022-03-31T13:50:11.000Z,1509528487660466182,@chrisrock you handled yourself in such a respectful manner. Very nice! With that being said you need to SUE the 💩 out of the #Oscars #WillSmith on principle alone  #chrisrockwillsmith #IStandWithChrisRock         #Oscars2022 #teamChrisRock
